id,name,now_cost,position,team,goals_conceded,points_per_game_rank,selected_rank_type,starts_per_90,penalties_saved,creativity_rank,chance_of_playing_next_round,penalties_order,bonus,transfers_out_event,bps,expected_goals_conceded_per_90,red_cards,influence_rank,expected_assists,threat_rank_type,region,now_cost_rank_type,points_per_game,now_cost_rank,clean_sheets,influence,yellow_cards,points_per_game_rank_type,total_points,expected_goals,creativity,own_goals,creativity_rank_type,expected_goals_per_90,news,expected_goal_involvements,cost_change_event,cost_change_start,threat_rank,transfers_in,expected_goal_involvements_per_90,status,ep_next,penalties_missed,saves_per_90,selected_by_percent,minutes,transfers_in_event,dreamteam_count,expected_goals_conceded,clean_sheets_per_90,ict_index_rank,form,ep_this,selected_rank,saves,in_dreamteam,form_rank_type,direct_freekicks_order,news_added,ict_index,cost_change_start_fall,starts,web_name,value_form,event_points,transfers_out,expected_assists_per_90,cost_change_event_fall,goals_scored,chance_of_playing_this_round,ict_index_rank_type,corners_and_indirect_freekicks_order,influence_rank_type,assists,threat,goals_conceded_per_90,value_season,form_rank
73,Norberto Murara Neto,44,GKP,Arsenal,2,88,25,1.0,0,454,,,0,17745,30,1.46,0,70,0.00,34,30.0,27,3.5,513,0,77.8,0,11,7,0.00,0.0,0,39,0.0,,0.00,0,-1,401,51776,0.0,a,1.0,0,5.5,1.6,180,907,0,2.91,0.0,204,1.0,2.0,162,11,False,20,,,7.8,1,2,Neto,0.2,0,130272,0.0,0,0,,13,,13,0,0.0,1.0,1.6,227
186,Raheem Sterling,68,MID,Arsenal,0,378,59,0.0,0,654,,,0,7018,2,1.17,0,654,0.00,172,241.0,20,1.0,37,0,0.0,0,197,1,0.00,0.0,0,301,0.0,,0.00,0,-2,309,30306,0.0,a,0.3,0,0.0,1.2,10,3279,0,0.13,0.0,391,0.3,1.3,182,0,False,196,,,0.2,2,0,Sterling,0.0,1,96889,0.0,0,0,,200,,301,0,2.0,0.0,0.1,379
578,Riccardo Calafiori,58,DEF,Arsenal,0,370,65,0.0,0,374,100.0,,0,15485,5,2.25,0,367,0.00,215,106.0,9,1.0,98,0,2.4,0,118,2,0.00,0.1,0,123,0.0,,0.00,0,-2,641,12448,0.0,a,0.7,0,0.0,1.3,42,440,0,1.05,0.0,390,0.7,0.8,177,0,False,99,,2024-09-08T23:00:07.138595Z,0.2,2,0,Calafiori,0.1,0,144769,0.0,0,0,50.0,126,,124,0,0.0,0.0,0.3,310
597,Myles Lewis-Skelly,45,MID,Arsenal,0,558,200,0.0,0,551,,,0,362,0,0.0,0,550,0.00,214,241.0,267,0.0,462,0,0.0,0,239,0,0.00,0.0,0,239,0.0,,0.00,0,0,516,3591,0.0,a,0.0,0,0.0,0.1,0,386,0,0.00,0.0,555,0.0,1.0,507,0,False,230,,,0.0,0,0,Lewis-Skelly,0.0,0,2822,0.0,0,0,,237,,233,0,0.0,0.0,0.0,546
633,Mikel Merino,60,MID,Arsenal,0,649,281,0.0,0,649,0.0,,0,122,0,0.0,0,649,0.00,293,200.0,54,0.0,80,0,0.0,0,298,0,0.00,0.0,0,297,0.0,Shoulder injury - Unknown return date,0.00,0,0,644,1558,0.0,i,0.0,0,0.0,0.0,0,73,0,0.00,0.0,650,0.0,0.0,631,0,False,296,,2024-08-30T13:30:05.886390Z,0.0,0,0,Merino,0.0,0,1305,0.0,0,0,0.0,298,,297,0,0.0,0.0,0.0,647
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,557,272,0.0,0,550,,,0,149,0,0.0,0,549,0.00,213,152.0,266,0.0,461,0,0.0,0,238,0,0.00,0.0,0,238,0.0,,0.00,0,0,515,980,0.0,a,0.0,0,0.0,0.0,0,215,0,0.00,0.0,554,0.0,1.0,615,0,False,229,,,0.0,0,0,Oulad M'hand,0.0,0,356,0.0,0,0,,236,,232,0,0.0,0.0,0.0,545
639,Tommy Setford,45,GKP,Arsenal,0,575,67,0.0,0,568,,,0,112,0,0.0,0,568,0.00,59,241.0,25,0.0,487,0,0.0,0,68,0,0.00,0.0,0,61,0.0,,0.00,0,0,535,368,0.0,a,0.0,0,0.0,0.0,0,130,0,0.00,0.0,573,0.0,1.0,612,0,False,67,,,0.0,0,0,Setford,0.0,0,192,0.0,0,0,,68,,68,0,0.0,0.0,0.0,566
657,Maldini Kacurri,40,DEF,Arsenal,0,470,203,0.0,0,446,,,0,125,0,0.0,0,460,0.00,146,2.0,213,0.0,657,0,0.0,0,165,0,0.00,0.0,0,165,0.0,,0.00,0,0,390,892,0.0,a,1.0,0,0.0,0.0,0,892,0,0.00,0.0,466,0.0,2.0,606,0,False,161,,,0.0,0,0,Kacurri,0.0,0,125,0.0,0,0,,166,,166,0,0.0,0.0,0.0,451
658,Ayden Heaven,40,DEF,Arsenal,0,471,207,0.0,0,447,,,0,75,0,0.0,0,461,0.00,147,241.0,214,0.0,658,0,0.0,0,166,0,0.00,0.0,0,166,0.0,,0.00,0,0,391,573,0.0,a,1.0,0,0.0,0.0,0,573,0,0.00,0.0,467,0.0,2.0,618,0,False,162,,,0.0,0,0,Heaven,0.0,0,75,0.0,0,0,,167,,167,0,0.0,0.0,0.0,452
659,Ismeal Kabia,45,MID,Arsenal,0,585,296,0.0,0,578,,,0,39,0,0.0,0,578,0.00,238,152.0,297,0.0,501,0,0.0,0,261,0,0.00,0.0,0,261,0.0,,0.00,0,0,546,235,0.0,a,1.1,0,0.0,0.0,0,235,0,0.00,0.0,583,0.0,2.1,650,0,False,255,,,0.0,0,0,Kabia,0.0,0,39,0.0,0,0,,260,,256,0,0.0,0.0,0.0,576
28,Leon Bailey,64,MID,Aston Villa,3,257,55,1.52,0,94,100.0,,0,21034,12,1.14,0,285,0.24,83,107.0,36,1.3,56,0,14.6,1,133,4,0.25,45.5,0,70,0.13,,0.49,0,-1,136,85195,0.25,a,1.0,0,0.0,1.4,178,2588,0,2.26,0.0,181,1.0,0.5,171,0,False,140,4.0,2024-08-31T21:00:04.558025Z,8.8,1,3,Bailey,0.2,0,298759,0.12,0,0,50.0,96,3.0,132,0,30.0,1.52,0.6,270
29,Ross Barkley,53,MID,Aston Villa,2,188,84,0.0,0,152,,,0,2749,25,0.92,0,238,0.10,129,241.0,105,2.0,169,0,25.4,0,90,6,0.05,29.0,0,102,0.05,,0.15,0,-2,227,8028,0.15,a,2.0,0,0.0,0.5,87,1439,0,0.89,0.0,244,2.0,2.0,251,0,False,71,,,6.2,2,0,Barkley,0.4,4,44872,0.1,0,0,,118,,104,1,8.0,2.07,1.1,152
30,Enzo Barrenechea,49,MID,Aston Villa,0,611,242,0.0,0,603,0.0,,0,333,0,0.0,0,606,0.00,258,,215,0.0,325,0,0.0,0,275,0,0.00,0.0,0,275,0.0,Loaned to Valencia CF,0.00,0,-1,580,872,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,610,0.0,0.0,567,0,False,271,,2024-08-31T06:33:47.934620Z,0.0,1,0,Barrenechea,0.0,0,4252,0.0,0,0,0.0,276,,273,0,0.0,0.0,0.0,604
31,Emiliano Buendía Stati,54,MID,Aston Villa,0,356,164,0.0,0,356,,,0,661,3,1.35,0,384,0.01,284,10.0,88,1.0,147,0,0.6,0,181,1,0.00,0.4,0,196,0.0,,0.01,0,-1,626,2498,0.15,a,0.3,0,0.0,0.1,6,356,0,0.09,0.0,395,0.3,0.3,451,0,False,188,,,0.1,1,0,Buendia,0.1,1,8001,0.15,0,0,,203,,194,0,0.0,0.0,0.2,369
32,Matty Cash,44,DEF,Aston Villa,1,226,63,1.88,0,244,50.0,,0,17882,10,1.43,0,309,0.01,83,172.0,131,1.5,534,0,9.6,0,65,3,0.00,12.4,0,72,0.0,Hamstring injury - 50% chance of playing,0.01,0,-1,264,38905,0.01,d,0.1,0,0.0,1.4,96,264,0,1.53,0.0,314,0.3,0.0,170,0,False,111,,2024-08-24T21:30:05.205042Z,2.6,1,2,Cash,0.1,0,205928,0.01,0,0,0.0,102,,108,0,4.0,0.94,0.7,330
33,Leander Dendoncker,45,MID,Aston Villa,0,515,77,0.0,0,503,0.0,,0,8984,0,0.0,0,506,0.00,179,,228,0.0,369,0,0.0,0,208,0,0.00,0.0,0,207,0.0,On loan to Anderlecht for the rest of the season,0.00,0,0,459,18187,0.0,u,0.0,0,0.0,0.5,0,0,0,0.00,0.0,512,0.0,0.0,238,0,False,198,,2024-09-02T10:45:36.198316Z,0.0,0,0,Dendoncker,0.0,0,57181,0.0,0,0,0.0,206,,202,0,0.0,0.0,0.0,502
34,Moussa Diaby,65,MID,Aston Villa,0,653,257,0.0,0,653,0.0,,0,91,0,0.0,0,653,0.00,300,,28,0.0,47,0,0.0,0,301,0,0.00,0.0,0,300,0.0,Permanent transfer to Al Ittihad,0.00,0,0,652,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,654,0.0,0.0,587,0,False,300,,2024-07-26T08:50:40.300928Z,0.0,0,0,Diaby,0.0,0,2991,0.0,0,0,0.0,301,,300,0,0.0,0.0,0.0,652
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,0,517,99,0.0,0,505,100.0,,0,1790,0,0.0,0,508,0.00,188,30.0,61,0.0,374,0,0.0,0,197,0,0.00,0.0,0,198,0.0,,0.00,0,0,462,10308,0.0,a,0.0,0,0.0,0.4,0,1918,0,0.00,0.0,514,0.0,0.0,277,0,False,198,,2024-08-30T15:00:05.616651Z,0.0,0,0,Diego Carlos,0.0,0,37297,0.0,0,0,50.0,199,,199,0,0.0,0.0,0.0,504
36,Lucas Digne,46,DEF,Aston Villa,5,78,21,1.18,0,27,,,2,17928,71,0.88,0,34,0.94,97,73.0,47,3.8,345,0,100.2,0,24,15,0.00,94.9,0,5,0.0,,0.94,0,1,290,631573,0.28,a,4.3,0,0.0,7.5,306,126169,1,3.00,0.0,56,4.3,4.3,57,0,False,12,2.0,,19.7,-1,4,Digne,0.9,4,136787,0.28,0,0,,9,4.0,10,2,2.0,1.47,3.3,46
37,Lewis Dobbin,50,MID,Aston Villa,0,624,297,0.0,0,620,0.0,,0,12,0,0.0,0,618,0.00,272,,156,0.0,241,0,0.0,0,284,0,0.00,0.0,0,283,0.0,Permanent transfer to West Bromwich Albion,0.00,0,0,603,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,622,0.0,0.0,651,0,False,281,,2024-08-07T08:21:33.016106Z,0.0,0,0,Dobbin,0.0,0,220,0.0,0,0,0.0,284,,281,0,0.0,0.0,0.0,618
38,Jhon Durán,61,FWD,Aston Villa,3,36,16,0.0,0,269,,,5,18323,85,1.91,0,35,0.14,14,48.0,22,5.0,75,0,99.4,1,9,20,1.04,9.2,0,29,0.91,,1.18,1,1,31,347624,1.03,a,4.7,0,0.0,3.4,103,186553,0,2.19,0.0,63,4.7,4.7,99,0,False,8,,,19.4,-1,0,Duran,0.8,6,75314,0.12,-1,3,,13,,5,0,85.0,2.62,3.3,40
39,Joe Gauci,40,GKP,Aston Villa,0,443,27,0.0,0,420,,,0,2758,0,0.0,0,434,0.00,24,13.0,63,0.0,626,0,0.0,0,50,0,0.00,0.0,0,29,0.0,,0.00,0,0,361,39537,0.0,a,0.0,0,0.0,0.9,0,2372,0,0.00,0.0,440,0.0,0.0,204,0,False,48,,,0.0,0,0,Gauci,0.0,0,19501,0.0,0,0,,50,,50,0,0.0,0.0,0.0,424
40,Kortney Hause,40,DEF,Aston Villa,0,414,81,0.0,0,388,,,0,3053,0,0.0,0,403,0.00,107,241.0,165,0.0,587,0,0.0,0,131,0,0.00,0.0,0,129,0.0,,0.00,0,0,329,24691,0.0,a,0.0,0,0.0,0.7,0,2017,0,0.00,0.0,409,0.0,0.0,225,0,False,126,,,0.0,0,0,Hause,0.0,0,22662,0.0,0,0,,131,,131,0,0.0,0.0,0.0,394
